(1)Roger Federer (SUI),,9070
Bye,,0
Ryan Harrison (USA),,945
Federico Delbonis (ARG),,785
Benoit Paire (FRA),,1075
(Q)Mitchell Krueger (USA),,254
Bye,,0
(25)Filip Krajinovic (SRB),,1504
(20)Adrian Mannarino (FRA),,1700
Bye,,0
Marius Copil (ROU),,661
(Q)Peter Polansky (CAN),,431
Julien Benneteau (FRA),,891
Jeremy Chardy (FRA),,560
Bye,,0
(16)Fabio Fognini (ITA),,2155
(12)Tomas Berdych (CZE),,2240
Bye,,0
Ivo Karlovic (CRO),,680
Maximilian Marterer (GER),,727
Lukas Lacko (SVK),,559
Dusan Lajovic (SRB),,525
Bye,,0
(23)Hyeon Chung (KOR),,1557
(30)Pablo Cuevas (URU),,1140
Bye,,0
Denis Shapovalov (CAN),,1061
(Q)Ricardas Berankis (LTU),,574
Radu Albot (MDA),,627
Stefanos Tsitsipas (GRE),,754
Bye,,0
(5)Dominic Thiem (AUT),,951,1
(3)Grigor Dimitrov (BUL),,4600
Bye,,0
Fernando Verdasco (ESP),,1225
Guido Pella (ARG),,865
Taylor Harry Fritz (USA),,679
(WC)Reilly Opelka (USA),,276
Bye,,0
(27)Andrey Rublev (RUS),,1393
(19)Albert Ramos (ESP),,1710
Bye,,0
Borna Coric (CRO),,1016
Donald Young (USA),,506
Jared Donaldson (USA),,1023
(Q)Evan King (USA),,294
Bye,,0
(13)Roberto Bautista Agut (ESP),,2220
(11)Pablo Carreno Busta (ESP),,1965
Bye,,0
Horacio Zeballos (ARG),,798
Yuichi Sugita (JPN),,1160
Steve Johnson (USA),,940
Daniil Medvedev (RUS),,924
Bye,,0
(17)Nick Kyrgios (AUS),,1955
(26)Damir Dzumhur (BIH),,1430
Bye,,0
Nicolas Kicker (ARG),,613
Jiri Vesely (CZE),,835
Karen Khachanov (RUS),,1220
Evgeny Donskoy (RUS),,626
Bye,,0
(7)Kevin Anderson (RSA),,3065
(8)Jack Sock (USA),,2300
Bye,,0
Thomas Fabbiano (ITA),,641
(WC)Bradley Klahn (USA),,335
Francis Tiafoe (USA),,844
(WC)Ernesto Escobedo (USA),,474
Bye,,0
(28)Feliciano Lopez (ESP),,1340
(18)Sam Querrey (USA),,2095
Bye,,0
Mikhail Kukushkin (KAZ),,540
Mischa Zverev (GER),,917
(Q)Yuki Bhambri (IND),,510
(Q)Nicolas Mahut (FRA),,592
Bye,,0
(9)Lucas Pouille (FRA),,2420
(14)Diego Sebastian Schwartzman (ARG),,2220
Bye,,0
(Q)Marcos Baghdatis (CYP),,590
(PR)Yoshihito Nishioka (JPN),,109
Denis Istomin (UZB),,668
Peter Gojowczyk (GER),,985
Bye,,0
(21)Kyle Edmund (GBR),,1627
(32)Milos Raonic (CAN),,1280
Bye,,0
(Q)Vasek Pospisil (CAN),,673
(Q)Felix Auger Aliassime (CAN),,296
Mikhail Youzhny (RUS),,589
Joao Sousa (POR),,645
Bye,,0
(4)Alexander Zverev (GER),,951,1
(6)Juan Martin Del Potro (ARG),,3165
Bye,,0
Jan Lennard Struff (GER),,915
(WC)Alex De Minaur (AUS),,378
Nikoloz Basilashvili (RUS),,640
(WC)Tennys Sandgren (USA),,878
Bye,,0
(29)David Ferrer (ESP),,1335
(22)Kei Nishikori (JPN),,1425
Bye,,0
Leonardo Mayer (ARG),,1000
Victor Estrella (DOM),,367
(Q)Taro Daniel (JPN),,470
(Q)Cameron Norrie (NZL),,555
Bye,,0
(10)Novak Djokovic (SRB),,951,1
(15)John Isner (USA),,2170
Bye,,0
Gael Monfils (FRA),,1140
Matthew Ebden (AUS),,690
Pierre Hugues Herbert (FRA),,595
Gilles Simon (FRA),,755
Bye,,0
(24)Gilles Muller (LUX),,1500
(31)Philipp Kohlschreiber (GER),,1255
Bye,,0
(Q)Tim Smyczek (USA),,451
Laslo Djere (SRB),,627
Viktor Troicki (SRB),,790
Marton Fucsovics (HUN),,823
Bye,,0
(2)Marin Cilic (CRO),,4870
