Player,,points,R64,R32,R16,QF,SF,F,W
(1)Roger Federer (SUI),,9070,1.0,0.93002,0.82782,0.70968,0.61942,0.47935,0.37226
Bye,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ryan Harrison (USA),,945,0.55055,0.04159,0.01709,0.00593,0.00231,0.00058,0.00013
Federico Delbonis (ARG),,785,0.44945,0.02839,0.01062,0.00339,0.00114,0.00023,4e-05
Benoit Paire (FRA),,1075,0.82778,0.33833,0.04142,0.01622,0.00673,0.00183,0.00041
(Q)Mitchell Krueger (USA),,254,0.17222,0.02138,0.00068,8e-05,1e-05,1e-05,0.0
Bye,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
(25)Filip Krajinovic (SRB),,1504,1.0,0.64029,0.10237,0.04789,0.02411,0.00837,0.00291
(20)Adrian Mannarino (FRA),,1700,1.0,0.77004,0.38179,0.08156,0.04403,0.01687,0.00629
Bye,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marius Copil (ROU),,661,0.61505,0.15984,0.04392,0.00452,0.00139,0.00029,3e-05
(Q)Peter Polansky (CAN),,431,0.38495,0.07012,0.0137,0.00095,0.00022,1e-05,0.0
Julien Benneteau (FRA),,891,0.62613,0.17119,0.06786,0.00885,0.00337,0.00082,0.00019
Jeremy Chardy (FRA),,560,0.37387,0.06953,0.02011,0.00177,0.00052,0.00011,4e-05
Bye,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
(16)Fabio Fognini (ITA),,2155,1.0,0.75928,0.47262,0.11916,0.07342,0.03229,0.01385
(12)Tomas Berdych (CZE),,2240,1.0,0.7819,0.51118,0.36602,0.10731,0.04864,0.02188
Bye,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ivo Karlovic (CRO),,680,0.48217,0.10131,0.03523,0.0145,0.00171,0.00034,3e-05
Maximilian Marterer (GER),,727,0.51783,0.11679,0.04273,0.01871,0.00226,0.00047,0.0001
Lukas Lacko (SVK),,559,0.51869,0.12684,0.03026,0.01094,0.00123,0.00016,2e-05
Dusan Lajovic (SRB),,525,0.48131,0.11158,0.02493,0.00838,0.0009,0.00011,2e-05
Bye,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
(23)Hyeon Chung (KOR),,1557,1.0,0.76158,0.35567,0.22312,0.05073,0.01819,0.00629
(30)Pablo Cuevas (URU),,1140,1.0,0.57522,0.33804,0.13523,0.02553,0.00749,0.00218
Bye,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Denis Shapovalov (CAN),,1061,0.66339,0.3187,0.17953,0.06944,0.01176,0.00316,0.00068
(Q)Ricardas Berankis (LTU),,574,0.33661,0.10608,0.04273,0.01069,0.0013,0.00018,3e-05
Radu Albot (MDA),,627,0.45069,0.17597,0.06297,0.01614,0.00188,0.00037,8e-05
Stefanos Tsitsipas (GRE),,754,0.54931,0.24048,0.09894,0.02919,0.00359,0.00081,0.00018
Bye,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
(5)Dominic Thiem (AUT),,951,1.0,0.58355,0.27779,0.09764,0.01513,0.00383,0.00101
(3)Grigor Dimitrov (BUL),,4600,1.0,0.83151,0.6843,0.50788,0.3553,0.17198,0.10926
Bye,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fernando Verdasco (ESP),,1225,0.59715,0.1121,0.05797,0.0242,0.00903,0.00193,0.00055
Guido Pella (ARG),,865,0.40285,0.05639,0.02471,0.00825,0.00211,0.00037,6e-05
Taylor Harry Fritz (USA),,679,0.72979,0.22782,0.03448,0.00919,0.00236,0.00026,3e-05
(WC)Reilly Opelka (USA),,276,0.27021,0.03907,0.00264,0.00043,3e-05,0.0,0.0
Bye,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
(27)Andrey Rublev (RUS),,1393,1.0,0.73311,0.1959,0.08778,0.03529,0.00847,0.00307
(19)Albert Ramos (ESP),,1710,1.0,0.68832,0.33649,0.12032,0.05381,0.0147,0.00561
Bye,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Borna Coric (CRO),,1016,0.68412,0.24592,0.08828,0.02254,0.0071,0.0014,0.00038
Donald Young (USA),,506,0.31588,0.06576,0.01426,0.00202,0.00032,2e-05,0.0
Jared Donaldson (USA),,1023,0.79923,0.23897,0.09989,0.02405,0.00835,0.0017,0.00056
(Q)Evan King (USA),,294,0.20077,0.01947,0.00305,0.00021,4e-05,2e-05,0.0
Bye,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
(13)Roberto Bautista Agut (ESP),,2220,1.0,0.74156,0.45803,0.19313,0.10117,0.03351,0.01528
(11)Pablo Carreno Busta (ESP),,1965,1.0,0.67318,0.37832,0.18266,0.07431,0.02253,0.00996
Bye,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Horacio Zeballos (ARG),,798,0.39887,0.10816,0.03539,0.00983,0.00231,0.00033,0.00011
Yuichi Sugita (JPN),,1160,0.60113,0.21866,0.09221,0.03234,0.00973,0.00224,0.00064
Steve Johnson (USA),,940,0.50651,0.15642,0.05799,0.01786,0.00447,0.00092,0.00018
Daniil Medvedev (RUS),,924,0.49349,0.15113,0.05384,0.01692,0.00401,0.00076,0.00021
Bye,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
(17)Nick Kyrgios (AUS),,1955,1.0,0.69245,0.38225,0.18576,0.07622,0.02363,0.00935
(26)Damir Dzumhur (BIH),,1430,1.0,0.67719,0.24651,0.11266,0.03812,0.00941,0.00332
Bye,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nicolas Kicker (ARG),,613,0.41926,0.11836,0.02348,0.00608,0.00114,0.00013,1e-05
Jiri Vesely (CZE),,835,0.58074,0.20445,0.05165,0.0175,0.0039,0.00063,9e-05
Karen Khachanov (RUS),,1220,0.67852,0.17933,0.09192,0.03846,0.01181,0.00252,0.00078
Evgeny Donskoy (RUS),,626,0.32148,0.0471,0.01625,0.00436,0.00084,0.0001,1e-05
Bye,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
(7)Kevin Anderson (RSA),,3065,1.0,0.77357,0.57019,0.37557,0.19823,0.07793,0.04193
(8)Jack Sock (USA),,2300,1.0,0.83293,0.57115,0.30727,0.18814,0.08395,0.02728
Bye,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thomas Fabbiano (ITA),,641,0.66913,0.13204,0.04697,0.01081,0.0032,0.00063,3e-05
(WC)Bradley Klahn (USA),,335,0.33087,0.03503,0.0078,0.00086,0.00012,3e-05,0.0
Francis Tiafoe (USA),,844,0.65498,0.24701,0.07638,0.02104,0.00704,0.00143,0.00024
(WC)Ernesto Escobedo (USA),,474,0.34502,0.08411,0.01707,0.00325,0.00079,7e-05,1e-05
Bye,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
(28)Feliciano Lopez (ESP),,1340,1.0,0.66888,0.28063,0.11073,0.05122,0.01576,0.00371
(18)Sam Querrey (USA),,2095,1.0,0.74788,0.3851,0.21491,0.12803,0.05248,0.01632
Bye,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mikhail Kukushkin (KAZ),,540,0.35879,0.06609,0.01435,0.00336,0.00083,0.00017,2e-05
Mischa Zverev (GER),,917,0.64121,0.18603,0.05906,0.02095,0.00778,0.00183,0.00036
(Q)Yuki Bhambri (IND),,510,0.4588,0.07024,0.01585,0.00361,0.0007,9e-05,0.0
(Q)Nicolas Mahut (FRA),,592,0.5412,0.09261,0.02335,0.00605,0.0016,0.0002,2e-05
Bye,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
(9)Lucas Pouille (FRA),,2420,1.0,0.83715,0.50229,0.29716,0.1858,0.08365,0.02795
(14)Diego Sebastian Schwartzman (ARG),,2220,1.0,0.83075,0.52595,0.37,0.1943,0.08444,0.02665
Bye,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
(Q)Marcos Baghdatis (CYP),,590,0.86525,0.1645,0.04935,0.01832,0.00368,0.00052,5e-05
(PR)Yoshihito Nishioka (JPN),,109,0.13475,0.00475,0.00031,3e-05,0.0,0.0,0.0
Denis Istomin (UZB),,668,0.3932,0.10609,0.02851,0.01158,0.00274,0.00049,4e-05
Peter Gojowczyk (GER),,985,0.6068,0.22149,0.07665,0.03746,0.01184,0.00271,0.00038
