Player,,points,QF,SF,F,W
(1)Roger Federer (SUI),,10000,0.50214,0.25042333333333333,0.12518333333333334,0.06325666666666667
(Q)Calvin Hemery (FRA),,10000,0.49786,0.24837333333333333,0.12438333333333333,0.06252666666666666
(Q)Thanasi Kokkinakis (AUS),,10000,0.5009533333333334,0.25109,0.12560333333333334,0.06274
Guillermo Garcia Lopez (ESP),,10000,0.4990466666666667,0.25011333333333335,0.12493,0.06230666666666667
Tennys Sandgren (USA),,10000,0.4995266666666667,0.24955666666666668,0.12393333333333334,0.06168666666666667
(31)Fernando Verdasco (ESP),,10000,0.5004733333333333,0.24891,0.12505,0.06277
(18)Adrian Mannarino (FRA),,10000,0.49934666666666666,0.2505966666666667,0.12585333333333334,0.06312333333333334
Steve Johnson (USA),,10000,0.5006533333333333,0.25093666666666664,0.12506333333333333,0.06251333333333334
Victor Estrella (DOM),,10000,0.49970333333333333,0.24978,0.12392333333333333,0.06141
Denis Istomin (UZB),,10000,0.5002966666666666,0.25049333333333335,0.12451,0.062183333333333334
(WC)Miomir Kecmanovic (SRB),,10000,0.49995,0.24936333333333333,0.12488666666666667,0.062413333333333335
(16)Pablo Carreno Busta (ESP),,10000,0.50005,0.2503633333333333,0.12519,0.06278666666666667
(10)Tomas Berdych (CZE),,10000,0.49900333333333335,0.25043,0.12507333333333334,0.06254
(Q)Alex De Minaur (AUS),,10000,0.5009966666666666,0.25043333333333334,0.12514,0.06226
(PR)Yoshihito Nishioka (JPN),,10000,0.49957666666666667,0.24895666666666666,0.12548,0.0628
Nicolas Kicker (ARG),,10000,0.5004233333333333,0.25018,0.12579666666666667,0.06268333333333333
